Trajectories,,,,,,,,,,
100,,,,,,,,,,
,,HW3-003:PELVIS_T,,,HW3-003:R_Foot_T,,,HW3-003:L_Foot_T,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
43,0,16.30488,287.329865,1023.616699,-21.197218,-20.360645,115.100418,155.095535,251.569153,129.110199
44,0,15.004825,289.58905,1022.799377,-20.837505,-15.558644,115.073235,154.999695,250.738922,130.771622
45,0,13.738425,291.938538,1021.973633,-20.46549,-10.65344,115.089233,154.958359,249.249344,132.912064
46,0,12.498567,294.355682,1021.170471,-20.048262,-5.542231,115.110764,154.952362,246.825729,135.705765
47,0,11.278573,296.821411,1020.429016,-19.604136,-0.2331,115.104195,154.890213,243.361359,139.101944
48,0,10.075045,299.32373,1019.791931,-19.191067,5.17897,115.049164,154.656204,238.91954,142.766052
49,0,8.891303,301.851074,1019.299622,-18.876141,10.574821,114.942192,154.183685,233.651352,146.228363
50,0,7.738914,304.388306,1018.986816,-18.723877,15.847754,114.819733,153.484802,227.70224,149.090179
51,0,6.635862,306.922668,1018.877869,-18.786465,20.917456,114.756371,152.624924,221.158096,151.147598
52,0,5.601377,309.45163,1018.978455,-19.034658,25.816824,114.783546,151.679367,214.044342,152.402649
53,0,4.646844,311.984802,1019.265869,-19.31679,30.748301,114.836525,150.708496,206.369705,152.999756
54,0,3.770384,314.537476,1019.692078,-19.478853,35.897915,114.847275,149.749283,198.178909,153.125824
55,0,2.963936,317.120453,1020.196777,-19.505096,41.200653,114.84407,148.809006,189.554443,152.914734
56,0,2.223495,319.737,1020.72229,-19.479206,46.430492,114.897629,147.874054,180.570892,152.411484
57,0,1.546028,322.388489,1021.226501,-19.446608,51.49976,115.003654,146.943085,171.278244,151.608017
58,0,0.920571,325.082001,1021.691345,-19.381176,56.518326,115.076263,146.051239,161.729218,150.499496
59,0,0.334188,327.826721,1022.118835,-19.271788,61.567764,115.055664,145.259857,151.99295,149.113144
60,0,-0.213453,330.621124,1022.51947,-19.176149,66.560722,114.97921,144.630814,142.131149,147.504776
61,0,-0.706948,333.447845,1022.904297,-19.154131,71.391899,114.923813,144.203888,132.162491,145.736404
62,0,-1.124556,336.2854,1023.284424,-19.168369,76.175522,114.898705,143.983139,122.046043,143.850693
63,0,-1.453029,339.122589,1023.670105,-19.113619,81.18914,114.836075,143.945328,111.7201,141.877747
64,0,-1.69509,341.957275,1024.061157,-18.964659,86.545601,114.691902,144.064896,101.175056,139.875488
65,0,-1.859031,344.788971,1024.448364,-18.841909,92.048065,114.527992,144.327118,90.463875,137.936996
66,0,-1.946759,347.619293,1024.820801,-18.901152,97.397903,114.468689,144.712036,79.642563,136.144943
67,0,-1.957319,350.451874,1025.169434,-19.187206,102.470596,114.574722,145.171173,68.724274,134.531174
68,0,-1.897302,353.285339,1025.484741,-19.601851,107.38459,114.779037,145.630264,57.681488,133.082718
69,0,-1.785047,356.11142,1025.758423,-19.978067,112.340111,114.941628,146.0224,46.477951,131.787231
70,0,-1.646654,358.918945,1025.989746,-20.180616,117.439186,114.949966,146.327026,35.120625,130.688248
71,0,-1.508083,361.697479,1026.186279,-20.176319,122.6698,114.788383,146.578049,23.712969,129.908325
72,0,-1.388777,364.440979,1026.359985,-20.04541,127.954933,114.550812,146.827271,12.430042,129.591949
73,0,-1.300781,367.149323,1026.524292,-19.914156,133.167801,114.380173,147.107773,1.410825,129.811417
74,0,-1.25217,369.825256,1026.687744,-19.841204,138.209106,114.34655,147.433212,-9.300027,130.541946
75,0,-1.249114,372.472443,1026.853882,-19.772629,143.10994,114.381958,147.811401,-19.720615,131.700439
76,0,-1.293666,375.095703,1027.025269,-19.632975,147.976257,114.377457,148.253159,-29.879194,133.184021
77,0,-1.381257,377.700104,1027.2052,-19.449184,152.840622,114.331459,148.773682,-39.772633,134.900055
78,0,-1.502745,380.289551,1027.398682,-19.328421,157.671692,114.330048,149.379196,-49.341858,136.788452
79,0,-1.648012,382.865448,1027.611084,-19.306589,162.508835,114.390816,150.060715,-58.470257,138.832245
80,0,-1.806015,385.427917,1027.84668,-19.299208,167.468262,114.425507,150.820953,-67.009247,141.056381
81,0,-1.964874,387.978577,1028.103882,-19.22117,172.594376,114.364609,151.688354,-74.817757,143.51059
82,0,-2.113567,390.522034,1028.37439,-19.081993,177.774902,114.240707,152.673538,-81.795509,146.23085
83,0,-2.240877,393.065735,1028.647705,-18.937977,182.856842,114.125061,153.72261,-87.902321,149.194138
84,0,-2.335456,395.618103,1028.911621,-18.806992,187.821579,114.035782,154.741074,-93.148399,152.317795
85,0,-2.390433,398.183167,1029.158203,-18.682264,192.756943,113.96418,155.659134,-97.554253,155.510849
