,,HW3001:PELVIS_T,,,HW3001:R_Foot_T,,,HW3001:L_Foot_T,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm
76,0,-72.21624,-79.287201,1145.615967,-173.530457,-173.472229,93.257973,90.481598,-528.131042,132.164963
77,0,-70.174698,-80.667259,1145.007568,-173.345169,-168.895493,93.389885,87.484749,-526.090149,129.252548
78,0,-68.051895,-82.118645,1144.374634,-173.315247,-164.020782,93.351547,84.377945,-523.322083,125.934753
79,0,-65.816284,-83.653366,1143.775024,-173.383347,-159.85228,93.69239,81.47525,-520.446289,122.612907
80,0,-63.489498,-85.241615,1143.135742,-173.316986,-154.93692,93.648895,79.032234,-518.109741,119.248871
81,0,-61.112278,-86.844467,1142.512817,-173.401215,-150.21759,93.583054,77.24424,-516.689209,115.505951
82,0,-58.698132,-88.521278,1141.895264,-173.121613,-145.166733,93.293007,76.192841,-515.848755,111.576035
83,0,-56.234051,-90.129684,1141.336182,-173.085419,-140.681091,93.042572,75.78167,-514.383362,108.51265
84,0,-53.828739,-91.790207,1140.965332,-173.157867,-136.4272,93.01947,75.76033,-511.140045,107.197403
85,0,-51.485909,-93.416122,1140.890259,-173.267288,-132.294937,92.98391,75.861198,-506.266357,107.269661
86,0,-49.224735,-94.895615,1141.087891,-173.414795,-128.381393,92.984375,75.950912,-500.928223,107.614151
87,0,-46.946468,-96.458046,1141.542358,-173.506165,-124.655754,92.988594,76.036674,-495.907623,107.553833
88,0,-44.83342,-97.966225,1142.354004,-173.642014,-121.193573,93.079811,76.153458,-491.125214,107.178459
89,0,-42.766144,-99.480515,1143.293091,-174.060715,-117.991287,93.064072,76.306503,-486.272644,106.837112
90,0,-40.605072,-100.872353,1144.293579,-174.490021,-115.033798,93.070442,76.481689,-481.294769,106.671677
91,0,-38.223827,-102.26725,1145.178101,-174.862991,-112.108414,93.017029,76.648964,-476.297485,106.608322
92,0,-35.77459,-103.561699,1146.003052,-175.268188,-109.309662,92.827919,76.770958,-471.334503,106.558876
93,0,-33.211567,-104.854759,1146.748901,-175.654907,-106.690331,92.671822,76.821526,-466.391418,106.502182
94,0,-30.601364,-106.027023,1147.431641,-175.966217,-104.276764,92.453171,76.799812,-461.456787,106.445282
95,0,-28.06587,-107.142265,1148.061523,-176.496994,-102.322128,92.511345,76.743668,-456.528595,106.385422
96,0,-25.59108,-108.159599,1148.607178,-176.41481,-99.523476,91.572708,76.71833,-451.598816,106.312004
